track,document_id,overall_baseline,overall_candidate,overall_delta,nid_baseline,nid_candidate,nid_delta,nid_s_baseline,nid_s_candidate,nid_s_delta,teds_baseline,teds_candidate,teds_delta,teds_s_baseline,teds_s_candidate,teds_s_delta,mhs_baseline,mhs_candidate,mhs_delta,mhs_s_baseline,mhs_s_candidate,mhs_s_delta
default,01030000000041,0.9565390749601277,0.9565390749601277,0.0,0.9565390749601277,0.9565390749601277,0.0,0.9565390749601277,0.9565390749601277,0.0,,,,,,,,,,,,
default,01030000000042,0.9871244635193134,0.9878484631879914,0.000723999669,0.9871244635193134,0.9878484631879914,0.000723999669,0.9871244635193134,0.9878484631879914,0.000723999669,,,,,,,,,,,,
default,01030000000043,0.8155747260433668,0.8155747260433668,0.0,0.8155747260433668,0.8155747260433668,0.0,0.8155747260433668,0.8155747260433668,0.0,,,,,,,,,,,,
default,01030000000044,0.7581906145819572,0.7581906145819572,0.0,0.6796338672768879,0.6796338672768879,0.0,0.11309523809523814,0.11309523809523814,0.0,,,,,,,0.8367473618870267,0.8367473618870267,0.0,1.0,1.0,0.0
default,01030000000045,0.8293918918918919,0.8293918918918919,0.0,0.875,0.875,0.0,0.8844984802431611,0.8844984802431611,0.0,0.7837837837837838,0.7837837837837838,0.0,0.7837837837837838,0.7837837837837838,0.0,,,,,,
default,01030000000046,0.731501511841767,0.731501511841767,0.0,0.7938780548012836,0.7938780548012836,0.0,0.9884297520661157,0.9884297520661157,0.0,0.6691249688822505,0.6691249688822505,0.0,0.8252427184466019,0.8252427184466019,0.0,,,,,,
default,01030000000047,0.6794923200296095,0.6794923200296095,0.0,0.7427055702917772,0.7427055702917772,0.0,0.967741935483871,0.967741935483871,0.0,0.6162790697674418,0.6162790697674418,0.0,0.8023255813953488,0.8023255813953488,0.0,,,,,,
default,01030000000048,0.9969180775131133,0.9972389927000597,0.000320915187,0.9951405028523136,0.9955649419218585,0.00042443907,0.9951405028523136,0.9955649419218585,0.00042443907,,,,,,,0.9986956521739131,0.9989130434782608,0.000217391304,1.0,1.0,0.0
default,01030000000049,0.9904153354632588,0.9904153354632588,0.0,0.9904153354632588,0.9904153354632588,0.0,0.9904153354632588,0.9904153354632588,0.0,,,,,,,,,,,,
default,01030000000050,0.9847653869591713,0.9847653869591713,0.0,0.9847653869591713,0.9847653869591713,0.0,0.9847653869591713,0.9847653869591713,0.0,,,,,,,,,,,,
default,01030000000051,0.9268749319067875,0.9270868884645999,0.000211956558,0.9348680516563728,0.9351669941060904,0.00029894245,0.9953440248318676,0.9958634953464324,0.000519470515,0.8940355145250668,0.8940355145250668,0.0,0.9245283018867925,0.9245283018867925,0.0,0.9517212295389229,0.9520581567626426,0.000336927224,1.0,1.0,0.0
default,01030000000052,0.884889308440618,0.884889308440618,0.0,0.9308755760368663,0.9308755760368663,0.0,0.9776908023483366,0.9776908023483366,0.0,0.8389030408443696,0.8389030408443696,0.0,0.8524590163934427,0.8524590163934427,0.0,,,,,,
default,01030000000053,0.9327547638625329,0.9327547638625329,0.0,0.9442417926003127,0.9442417926003127,0.0,0.9919354838709676,0.9919354838709676,0.0,0.8969610540934254,0.8969610540934254,0.0,0.9166666666666666,0.9166666666666666,0.0,0.9570614448938606,0.9570614448938606,0.0,1.0,1.0,0.0
default,01030000000054,0.8969712321373174,0.8969712321373174,0.0,0.9974196575181797,0.9974196575181797,0.0,0.9974196575181797,0.9974196575181797,0.0,,,,,,,0.7965228067564551,0.7965228067564551,0.0,0.8,0.8,0.0
default,01030000000055,0.9501862197392924,0.9501862197392924,0.0,0.9501862197392924,0.9501862197392924,0.0,0.9501862197392924,0.9501862197392924,0.0,,,,,,,,,,,,
default,01030000000056,0.893735130848533,0.893735130848533,0.0,0.893735130848533,0.893735130848533,0.0,0.893735130848533,0.893735130848533,0.0,,,,,,,,,,,,
default,01030000000057,0.9223826714801444,0.9223826714801444,0.0,0.9223826714801444,0.9223826714801444,0.0,0.9223826714801444,0.9223826714801444,0.0,,,,,,,,,,,,
default,01030000000058,0.9311260443746833,0.9311260443746833,0.0,0.9151256519677573,0.9151256519677573,0.0,0.9151256519677573,0.9151256519677573,0.0,,,,,,,0.9471264367816092,0.9471264367816092,0.0,1.0,1.0,0.0
default,01030000000059,0.7373447946513849,0.7373447946513849,0.0,0.7373447946513849,0.7373447946513849,0.0,0.7373447946513849,0.7373447946513849,0.0,,,,,,,,,,,,
default,01030000000060,0.8576131687242798,0.8576131687242798,0.0,0.8576131687242798,0.8576131687242798,0.0,0.8576131687242798,0.8576131687242798,0.0,,,,,,,,,,,,
default,01030000000061,0.9298515104966718,0.9298515104966718,0.0,0.9298515104966718,0.9298515104966718,0.0,0.9298515104966718,0.9298515104966718,0.0,,,,,,,,,,,,
default,01030000000062,0.9933070109473255,0.9935654456617402,0.000258434714,0.9918650195842121,0.9921686746987952,0.000303655115,0.9918650195842121,0.9921686746987952,0.000303655115,,,,,,,0.994749002310439,0.9949622166246851,0.000213214314,1.0,1.0,0.0
default,01030000000063,0.9689119170984456,0.9689119170984456,0.0,0.9689119170984456,0.9689119170984456,0.0,0.9689119170984456,0.9689119170984456,0.0,,,,,,,,,,,,
default,01030000000064,0.9311979964966061,0.9313156742556918,0.000117677759,0.9248959929932121,0.9251313485113836,0.000235355518,0.9928415810768751,0.9931549471064095,0.00031336603,0.9375,0.9375,0.0,0.9375,0.9375,0.0,,,,,,
default,01030000000065,0.9931522714629357,0.9931522714629357,0.0,0.9910913140311804,0.9910913140311804,0.0,0.9910913140311804,0.9910913140311804,0.0,,,,,,,0.995213228894691,0.995213228894691,0.0,1.0,1.0,0.0
default,01030000000066,0.9618247298919568,0.9618247298919568,0.0,0.9618247298919568,0.9618247298919568,0.0,0.9618247298919568,0.9618247298919568,0.0,,,,,,,,,,,,
default,01030000000067,0.9771805665033162,0.9771805665033162,0.0,0.9745186862967158,0.9745186862967158,0.0,0.9745186862967158,0.9745186862967158,0.0,,,,,,,0.9798424467099166,0.9798424467099166,0.0,1.0,1.0,0.0
default,01030000000068,0.9847715736040609,0.9847715736040609,0.0,0.9847715736040609,0.9847715736040609,0.0,0.9847715736040609,0.9847715736040609,0.0,,,,,,,,,,,,
default,01030000000069,0.6084442288283727,0.6084442288283727,0.0,0.9872734284612418,0.9872734284612418,0.0,0.9872734284612418,0.9872734284612418,0.0,,,,,,,0.2296150291955037,0.2296150291955037,0.0,0.4545454545454546,0.4545454545454546,0.0
default,01030000000070,0.8066852367688022,0.8066852367688022,0.0,0.8066852367688022,0.8066852367688022,0.0,0.735873850197109,0.735873850197109,0.0,,,,,,,,,,,,
default,01030000000071,0.8612999170517834,0.8612999170517834,0.0,0.8132183908045977,0.8132183908045977,0.0,0.9424986931521171,0.9424986931521171,0.0,,,,,,,0.9093814432989691,0.9093814432989691,0.0,1.0,1.0,0.0
default,01030000000072,0.5581929555895866,0.5581929555895866,0.0,0.5581929555895866,0.5581929555895866,0.0,0.6015538290788014,0.6015538290788014,0.0,,,,,,,,,,,,
default,01030000000073,0.813632441760138,0.813632441760138,0.0,0.813632441760138,0.813632441760138,0.0,0.7922616305849839,0.7922616305849839,0.0,,,,,,,,,,,,
default,01030000000074,0.8828671328671329,0.8828671328671329,0.0,0.8828671328671329,0.8828671328671329,0.0,0.9582321515298688,0.9582321515298688,0.0,,,,,,,,,,,,
default,01030000000075,0.9929478138222849,0.9929478138222849,0.0,0.9929478138222849,0.9929478138222849,0.0,0.9929478138222849,0.9929478138222849,0.0,,,,,,,,,,,,
default,01030000000076,0.48816029143898,0.48816029143898,0.0,0.48816029143898,0.48816029143898,0.0,0.9359720605355064,0.9359720605355064,0.0,,,,,,,,,,,,
default,01030000000077,0.6734741715683419,0.6734741715683419,0.0,0.8255197717081125,0.8255197717081125,0.0,0.9801548886737658,0.9801548886737658,0.0,,,,,,,0.5214285714285714,0.5214285714285714,0.0,0.5714285714285714,0.5714285714285714,0.0
default,01030000000078,0.47442311431408213,0.47442311431408213,0.0,0.700228832951945,0.700228832951945,0.0,0.8543080939947781,0.8543080939947781,0.0,0.2486173956762192,0.2486173956762192,0.0,0.46794871794871795,0.46794871794871795,0.0,,,,,,
default,01030000000079,0.5957549445248432,0.5957549445248432,0.0,0.8581765557163531,0.8581765557163531,0.0,0.8581765557163531,0.8581765557163531,0.0,,,,,,,0.33333333333333337,0.33333333333333337,0.0,0.33333333333333337,0.33333333333333337,0.0
default,01030000000080,0.5598930481283422,0.5598930481283422,0.0,0.7864527629233511,0.7864527629233511,0.0,0.7864527629233511,0.7864527629233511,0.0,,,,,,,0.33333333333333337,0.33333333333333337,0.0,0.33333333333333337,0.33333333333333337,0.0
default,01030000000081,0.9623415361670395,0.9623415361670395,0.0,0.9246830723340791,0.9246830723340791,0.0,0.987012987012987,0.987012987012987,0.0,1.0,1.0,0.0,1.0,1.0,0.0,,,,,,
default,01030000000082,0.9476323208370014,0.9476323208370014,0.0,0.8960109103307193,0.8960109103307193,0.0,0.9780439121756487,0.9780439121756487,0.0,0.9992537313432835,0.9992537313432835,0.0,1.0,1.0,0.0,,,,,,
